country,year,life_expectancy_at_birth,source,source_url
Africa,1925,26.4,Riley,https://doi.org/10.1111/j.1728-4457.2005.00083.x
Africa,1950,37.25,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1951,37.78,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1952,38.25,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1953,38.73,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1954,39.09,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1955,39.55,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1956,39.98,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1957,39.86,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1958,40.24,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1959,41.19,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1960,41.4,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1961,41.78,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1962,42.25,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1963,42.72,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1964,43.09,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1965,43.36,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1966,43.46,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1967,43.75,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1968,44.25,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1969,44.51,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1970,44.99,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1971,45.4,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1972,45.46,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1973,46.1,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1974,46.41,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1975,46.81,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1976,47.55,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1977,48.04,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1978,48.43,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1979,48.96,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1980,49.41,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1981,49.82,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1982,50.21,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1983,49.55,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1984,49.74,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1985,50.13,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1986,50.59,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1987,51.19,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1988,51.06,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1989,51.71,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1990,51.66,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1991,51.49,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1992,51.43,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1993,51.83,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1994,49.96,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1995,52.34,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1996,52.37,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1997,52.58,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1998,52.4,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,1999,53.06,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2000,53.67,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2001,54.01,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2002,54.39,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2003,54.84,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2004,55.34,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2005,55.85,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2006,56.46,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2007,57.08,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2008,57.67,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2009,57.75,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2010,58.77,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2011,58.96,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2012,59.8,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2013,60.27,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2014,60.47,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2015,60.84,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2016,61.21,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2017,61.51,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2018,62.17,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2019,62.45,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2020,62.26,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2021,61.79,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2022,62.92,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Africa,2023,63.84,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1950,44.52,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1951,45.27,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1952,46.28,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1953,47.37,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1954,48.42,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1955,49.58,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1956,50.85,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1957,52.26,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1958,53.74,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1959,55.13,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1960,56.41,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1961,57.49,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1962,58.49,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1963,59.48,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1964,60.4,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1965,61.27,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1966,62.15,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1967,62.98,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1968,63.79,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1969,64.54,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1970,65.23,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1971,65.9,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1972,66.53,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1973,67.11,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1974,67.63,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1975,68.12,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1976,68.57,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1977,68.99,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1978,69.37,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1979,69.62,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1980,69.9,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1981,70.14,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1982,70.42,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1983,70.71,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1984,70.98,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1985,71.28,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1986,71.67,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1987,71.98,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1988,72.22,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1989,72.46,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1990,72.71,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1991,73,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1992,73.3,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1993,73.64,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1994,73.84,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1995,74.02,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1996,74.11,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1997,73.38,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1998,74.36,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,1999,74.57,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2000,74.83,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2001,75.08,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2002,75.3,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2003,75.56,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2004,75.95,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2005,76.43,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2006,76.99,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2007,77.69,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2008,78.25,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2009,78.51,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2010,78.41,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2011,78.3,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2012,78.08,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2013,78,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2014,78.03,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2015,78.36,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2016,78.64,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2017,78.9,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2018,79.24,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2019,79.47,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2020,77.82,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2021,76.84,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2022,78.77,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Albania,2023,79.6,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Algeria,1923,28.82,Zijdeman et al.,https://clio-infra.eu/Indicators/LifeExpectancyatBirthTotal.html
Algeria,1933,31.22,Zijdeman et al.,https://clio-infra.eu/Indicators/LifeExpectancyatBirthTotal.html
Algeria,1943,33.72,Zijdeman et al.,https://clio-infra.eu/Indicators/LifeExpectancyatBirthTotal.html
Algeria,1950,42.68,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Algeria,1951,43.3,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Algeria,1952,43.47,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Algeria,1953,43.6,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Algeria,1954,40.64,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Algeria,1955,40.87,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Algeria,1956,40.91,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Algeria,1957,40.92,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Algeria,1958,40.9,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Algeria,1959,40.88,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Algeria,1960,40.84,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Algeria,1961,40.79,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Algeria,1962,39.53,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
Algeria,1963,43.14,UN World Population Prospects,https://population.un.org/wpp/downloads?folder=Standard%20Projections&group=Most%20used
